key, min, max, median, mean, sigma
air_temperature, 20.553000, 29.061000, 21.723000, 23.137380, 2.555196
barometric_pressure, 1011.360000, 1015.770000, 1014.810000, 1014.350559, 1.244038
driver_timestamp, 3625326952.124155, 3625326952.256106, 3625326952.190319, 3625326952.190335, 0.037354
eastward_wind_velocity, -0.560000, 1.060000, 0.080000, 0.091524, 0.216380
internal_timestamp, 3616185633.805000, 3616271946.779000, 3616228494.350500, 3616228548.099094, 24836.153089
longwave_irradiance, 370.300000, 427.400000, 395.400000, 395.657552, 14.627109
northward_wind_velocity, -1.150000, 1.180000, 0.150000, 0.143245, 0.339722
precipitation, 19.760000, 20.100000, 20.030000, 19.975441, 0.113239
relative_humidity, 61.280000, 98.491000, 91.169000, 86.396605, 11.733861
sea_surface_conductivity, -0.000300, 0.000100, 0.000000, -0.000043, 0.000089
sea_surface_temperature, 20.463000, 45.514000, 22.942000, 26.611445, 7.327851
shortwave_irradiance, 0.600000, 1044.900000, 30.500000, 185.535524, 304.722914
