context,name,suffix,driver,sensor,regex,resource,timeout,rename,input1,output1,input2,output2,input3,output3,input4,output4,input5,output5,input6,output6,input7,output7
adcpa-m-glider,adcpa-m-glider,recovered,/moas/gl/adcpa/adcpa_m_glider_recovered_driver.py,XX00XXXX-XX00X-00-ADCPMR000,,moas/gl/adcpa/resource,,,ND072023.PD0,ND072023_recov.yml,,,,,,,,,,,,
adcpa-m-glider,adcpa-m-glider,telemetered,/moas/gl/adcpa/adcpa_m_glider_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPMT000,,moas/gl/adcpa/resource,,,ND072023.PD0,ND072023_telem.yml,,,,,,,,,,,,
adcps-jln-sio,adcps-jln-sio,recovered,/adcps_jln/adcps_jln_driver.py,XX00XXXX-XX00X-00-ADCPSJ000,,adcps_jln/stc/resource,,,ADCP_data_20130702.000,ADCP_data_20130702.yml,,,,,,,,,,,,
adcps-jln-sio,adcps-jln-sio,telemetered,/adcps_jln/sio/adcps_jln_sio_telemetered_driver.py,XX00XXXX-XX00X-00-ADJLST000,,,,,,,,,,,,,,,,,,
adcps-jln-stc,adcps-jln-stc,recovered,/adcps_jln/adcps_jln_driver.py,XX00XXXX-XX00X-00-ADCPSJ000,,adcps_jln/stc/resource,,,ADCP_CCE1T_20.000,ADCP_CCE1T_20.yml,,,,,,,,,,,,
adcps-jln-stc,adcps-jln-stc,telemetered,/adcps_jln/stc/adcps_jln_stc_driver.py,XX00XXXX-XX00X-00-ADCPSS000,,adcps_jln/stc/resource,,,adcpt_20140504_015742.DAT,adcpt_20140504_015742.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd0,adcpt-acfgm-dcl-pd0,recovered,/adcpt_acfgm/dcl/pd0/adcpt_acfgm_dcl_pd0_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTR000,,adcpt_acfgm/dcl/pd0/resource,,,20140424.adcpt.log,20140424.recov.adcpt.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd0,adcpt-acfgm-dcl-pd0,telemetered,/adcpt_acfgm/dcl/pd0/adcpt_acfgm_dcl_pd0_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPTT000,,adcpt_acfgm/dcl/pd0/resource,,,20140424.adcpt.log,20140424.telem.adcpt.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd8,adcpt-acfgm-dcl-pd8,recovered,/adcpt_acfgm/dcl/pd8/adcpt_acfgm_dcl_pd8_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTR800,,adcpt_acfgm/dcl/pd8/resource,,,20131201.adcp_mod.log,20131201.adcp_mod_recov.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd8,adcpt-acfgm-dcl-pd8,telemetered,/adcpt_acfgm/dcl/pd8/adcpt_acfgm_dcl_pd8_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPTR800,,adcpt_acfgm/dcl/pd8/resource,,,20131201.adcp_mod.log,20131201.adcp_mod.yml,,,,,,,,,,,,
adcpt-m-fcoeff,adcpt-m-fcoeff,recovered,/adcpt_m/adcpt_m_fcoeff_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTM002,,adcpt_m/resource,,,FCoeff1404180021.txt,FCoeff1404180021.yml,,,,,,,,,,,,
cg-cpm-eng-cpm,cg-cpm-eng-cpm,recovered,/cg_cpm_eng/cpm/cg_cpm_eng_cpm_recovered_driver.py,XX00XXXX-XX00X-00-CGCPME100,,cg_cpm_eng/cpm/resource,,,cpm_status.20140817_1255.txt,cpm_status.20140817_1255_recov.yml,,,,,,,,,,,,
cg-cpm-eng-cpm,cg-cpm-eng-cpm,telemetered,/cg_cpm_eng/cpm/cg_cpm_eng_cpm_telemetered_driver.py,XX00XXXX-XX00X-00-CGCPME000,,cg_cpm_eng/cpm/resource,,,cpm_status.20140817_1255.txt,cpm_status.20140817_1255_telem.yml,,,,,,,,,,,,
cg-dcl-eng-dcl ,cg-dcl-eng-dcl ,recovered,/cg_dcl_eng/dcl/cg_dcl_eng_dcl_recovered_driver.py,XX00XXXX-XX00X-00-CGDCLE100,,cg_dcl_eng/dcl/resource,,,20140915.syslog.log,recov.20140915.syslog.yml,,,,,,,,,,,,
cg-dcl-eng-dcl ,cg-dcl-eng-dcl ,telemetered,/cg_dcl_eng/dcl/cg_dcl_eng_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-CGDCLE000,,cg_dcl_eng/dcl/resource,,,20140915.syslog.log,telem.20140915.syslog.yml,,,,,,,,,,,,
cg-stc-eng-stc,cg-stc-eng-stc,recovered,/cg_stc_eng/stc/cg_stc_eng_stc_recovered_driver.py,XX00XXXX-XX00X-00-CGSTCE100,,cg_stc_eng/stc/resource,,,stc_status.txt,stc_first_recov.result.yml,,,,,,,,,,,,
cg-stc-eng-stc,cg-stc-eng-stc,telemetered,/cg_stc_eng/stc/cg_stc_eng_stc_telemetered_driver.py,XX00XXXX-XX00X-00-CGSTCE000,,cg_stc_eng/stc/resource,,,stc_status.txt,stc_first.result.yml,,,,,,,,,,,,
ctdbp-cdef-ce,ctdbp-cdef-ce,recovered,/ctdbp_cdef/ce/ctdbp_cdef_ce_driver.py,XX00XXXX-XX00X-00-CTDBPCDEFCER0,,ctdbp_cdef/ce/resource,,,data1.log,data1.yml,,,,,,,,,,,,
ctdbp-cdef-cp,ctdbp-cdef-cp,recovered,/ctdbp_cdef/cp/ctdbp_cdef_cp_driver.py,XX00XXXX-XX00X-00-CTDBPCDEFCPR0,,ctdbp_cdef/cp/resource,,,data1.log,data1.yml,,,,,,,,,,,,
ctdbp-cdef-dcl-ce ,ctdbp-cdef-dcl-ce ,telemetered,,,,,,,,,,,,,,,,,,,,
ctdbp-cdef-dcl-cp ,ctdbp-cdef-dcl-cp ,telemetered,,,,,,,,,,,,,,,,,,,,
